"2017-06-09 15:01:59 Company: Douglas Institute"
"Trigger","Trigger_date_time","Trigger_Tag","Q_lable","Q_start_date_time","Q_finish_date_time","NASA_ExigenceMentale","NASA_ExigencePhysique","NASA_ExigenceTemporelle","NASA_Performance","NASA_Effort","NASA_Frustration","SamnPerelli","AS_HeureCouche","AS_HeureLeve","AS_MinutesEndormir","AS_QualiteSommeilVas","AS_TravailSommeil","VigilanceVas","HumeurVas","IrritabiliteVas","DebutQuartTravail","FinQuartTravail","ConditionsClimVas","Incidents","CognerClous","HV_NbCigarettes","HV_NbBoissonsEnergie","HV_NbConsoAlcool","ACT_HeureEnleveActigraphe","ACT_HeureRemisActigraphe","KSS","Appetit","PeriodeRepas","MangéRepas","TypeRepas","SoloDuo","Cour","HeureCour","NbHeuresSup","ActPhyStart","ActPhyEnd",
"Start of day","2017-06-09 15:02:30","2","AS_HeureLeve","2017-06-09 15:02:40","2017-06-09 15:02:45","","","","","","","","","4:05","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:02:47","3","AS_MinutesEndormir","2017-06-09 15:02:47","2017-06-09 15:02:51","","","","","","","","","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:02:47","3","AS_HeureCouche","2017-06-09 15:02:51","2017-06-09 15:02:53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:02:47","3","AS_QualiteSommeilVas","2017-06-09 15:02:53","2017-06-09 15:02:56","","","","","","","","","","","74","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:02:47","3","AS_TravailSommeil","2017-06-09 15:02:56","2017-06-09 15:02:57","","","","","","","","","","","","2=non","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:02:47","3","VigilanceVas","2017-06-09 15:02:57","2017-06-09 15:02:58","","","","","","","","","","","","","70","","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:02:47","3","HumeurVas","2017-06-09 15:02:58","2017-06-09 15:02:59","","","","","","","","","","","","","","73","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:02:47","3","IrritabiliteVas","2017-06-09 15:02:59","2017-06-09 15:03:03","","","","","","","","","","","","","","","74","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:03:06","3","AS_MinutesEndormir","2017-06-09 15:03:06","2017-06-09 15:03:09","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:03:06","3","AS_HeureCouche","2017-06-09 15:03:09","2017-06-09 15:03:13","","","","","","","","4:07","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:03:06","3","AS_QualiteSommeilVas","2017-06-09 15:03:13","2017-06-09 15:03:15","","","","","","","","","","","76","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:03:06","3","AS_TravailSommeil","2017-06-09 15:03:15","2017-06-09 15:03:16","","","","","","","","","","","","2=non","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:03:06","3","VigilanceVas","2017-06-09 15:03:16","2017-06-09 15:03:17","","","","","","","","","","","","","72","","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:03:06","3","HumeurVas","2017-06-09 15:03:17","2017-06-09 15:03:18","","","","","","","","","","","","","","71","","","","","","","","","","","","","","","","","","","","","",""
"Bedtime","2017-06-09 15:03:06","3","IrritabiliteVas","2017-06-09 15:03:18","2017-06-09 15:03:19","","","","","","","","","","","","","","","76","","","","","","","","","","","","","","","","","","","","",""
" Before/during","2017-06-09 15:03:21","4","DebutQuartTravail","2017-06-09 15:03:29","2017-06-09 15:03:33","","","","","","","","","","","","","","","","5:04","","","","","","","","","","","","","","","","","","","",""
" Before/during","2017-06-09 15:03:21","4","FinQuartTravail","2017-06-09 15:03:33","2017-06-09 15:03:38","","","","","","","","","","","","","","","","","20:08","","","","","","","","","","","","","","","","","","",""
" Before/during","2017-06-09 15:03:21","4","ConditionsClimVas","2017-06-09 15:03:38","2017-06-09 15:03:40","","","","","","","","","","","","","","","","","","73","","","","","","","","","","","","","","","","","",""
" Before/during","2017-06-09 15:03:21","4","Incidents","2017-06-09 15:03:40","2017-06-09 15:03:45","","","","","","","","","","","","","","","","","","","gfdfg","","","","","","","","","","","","","","","","",""
" Before/during","2017-06-09 15:03:21","4","CognerClous","2017-06-09 15:03:45","2017-06-09 15:03:47","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","",""
" Before/during","2017-06-09 15:03:21","4","HV_NbCigarettes","2017-06-09 15:03:47","2017-06-09 15:03:50","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","",""
" Before/during","2017-06-09 15:03:21","4","HV_NbBoissonsEnergie","2017-06-09 15:03:50","2017-06-09 15:03:57","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","",""
" Before/during","2017-06-09 15:03:21","4","HV_NbConsoAlcool","2017-06-09 15:03:57","2017-06-09 15:04:00","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","",""
"Actigraph","2017-06-09 15:04:02","5","KSS","2017-06-09 15:04:02","2017-06-09 15:04:07","","","","","","","","","","","","","","","","","","","","","","","","","","7=Somnolent, mais reste éveillé sans effort","","","","","","","","","",""
